Depthm,T_degC,Salnty
75,9.53,33.19
94,9.14,33.39
100,9.02,33.442
125,8.62,33.634
139,8.46,
150,8.38,33.786
185,8.18,33.93
200,8.03,33.971
250,7.48,34.057
278,7.16,34.07
300,6.97,34.07
371,6.44,34.07
400,6.24,34.097
500,5.62,34.212
556,5.32,34.29
600,5.09,34.303
700,4.63,34.334
800,4.23,34.367
840,4.09,34.49
900,3.94,34.402
1000,3.69,34.439
1100,3.44,34.477
1134,3.35,34.49
0,13.8,33.06
10,13.72,32.95
20,13.54,32.95
25,13.33,32.95
30,12.73,32.901
49,10.46,32.81
50,10.45,32.825
73,10.33,33.13
75,10.29,33.156
97,9.74,33.42
100,9.65,33.452
125,8.91,33.684
144,8.4,33.82
150,8.31,33.852
193,7.82,34.0
200,7.74,34.004
250,7.14,34.001
289,6.68,33.96
300,6.54,33.964
386,5.54,34.02
400,5.45,34.03
500,4.96,34.104
578,4.78,34.16
600,4.7,34.178
700,4.38,34.253
800,4.09,34.32
868,3.91,34.36
900,3.84,34.367
1000,3.64,34.391
1100,3.43,34.415
1162,3.3,34.43
0,13.8,32.94
9,13.83,32.82
10,13.84,32.827
20,13.92,32.977
23,13.94,33.05
30,13.52,33.103
46,12.4,33.15
50,12.33,33.142
68,12.08,33.12
75,11.75,33.094
91,10.87,33.06
100,10.42,33.105
125,9.33,33.298
134,9.0,33.39
150,8.59,33.516
178,8.08,33.71
200,7.73,33.804
250,7.07,33.934
266,6.9,33.95
300,6.52,33.98
356,6.06,34.0
400,6.12,34.017
500,6.41,34.079
536,6.56,34.11
600,6.08,34.148
700,5.22,34.215
800,4.23,34.293
820,4.01,34.31
900,3.82,34.353
1000,3.58,34.408
1100,3.33,34.464
1110,3.31,34.47
0,14.88,33.08
10,14.66,33.03
20,14.67,33.03
24,14.67,33.03
30,14.09,33.017
48,12.2,
50,12.18,32.983
72,11.98,32.97
75,11.91,32.972
96,11.28,33.01
100,11.17,33.032
125,10.45,33.193
145,9.87,33.35
150,9.71,33.382
194,8.4,33.64
200,8.29,33.667
250,7.51,33.845
290,7.1,33.92
300,6.95,33.927
386,5.81,33.95
400,5.7,33.967
500,5.13,34.102
580,4.91,34.22
600,4.83,34.238
700,4.45,34.314
800,4.12,34.371
874,3.9,34.4
900,3.85,34.409
1000,3.64,34.446
1100,3.43,34.484
1170,3.28,34.51
0,14.98,33.1
10,14.75,33.08
20,14.64,33.078
25,14.53,33.06
30,14.07,33.049
50,12.18,33.02
75,11.98,32.95
100,11.88,33.04
125,10.96,33.157
150,9.8,33.31
200,8.35,33.68
250,7.57,33.889
299,7.11,33.98
300,7.1,33.98
398,6.1,33.98
400,6.08,33.981
500,5.39,34.069
597,4.91,34.18
600,4.9,34.183
700,4.49,34.276
800,4.16,34.356
896,3.9,34.42
900,3.89,34.421
1000,3.66,34.451
1100,3.44,34.481
1195,3.22,34.51
0,15.1,33.06
10,14.92,33.04
20,14.81,33.04
25,14.76,33.04
30,14.39,33.031
50,12.74,33.01
75,11.94,33.03
100,11.95,33.13
125,11.07,33.216
150,9.92,33.33
199,8.42,33.68
200,8.4,33.685
250,7.66,33.881
298,7.26,33.96
300,7.24,33.96
396,6.13,33.96
400,6.1,33.963
500,5.4,34.038
594,4.96,34.13
600,4.93,34.135
700,4.55,34.216
800,4.23,34.286
891,4.0,34.34
900,3.98,34.343
1000,3.74,34.372
1100,3.5,34.402
1189,3.29,34.43
0,15.12,33.13
10,14.85,32.95
20,14.74,32.963
25,14.62,32.97
30,14.11,32.968
50,12.07,32.99
75,12.11,33.02
99,11.62,33.06
100,11.59,33.061
125,10.72,33.123
148,9.86,33.24
150,9.8,33.261
198,8.6,33.78
200,8.57,33.793
250,7.98,34.019
296,7.62,34.07
300,7.57,34.071
396,6.3,34.05
400,6.26,34.053
500,5.41,34.132
594,4.86,34.23
600,4.83,34.234
700,4.37,34.292
800,4.01,34.343
891,3.78,34.38
900,3.76,34.385
1000,3.58,34.438
1100,3.39,34.492
1189,3.22,34.54
0,15.33,33.0
10,13.79,32.84
20,13.35,32.82
25,13.27,32.81
30,12.89,32.802
50,11.36,32.79
75,10.64,32.77
100,9.55,32.95
125,8.92,33.257
149,8.54,33.55
150,8.52,33.558
199,7.8,33.84
200,7.79,33.842
250,7.12,33.876
298,6.56,33.91
300,6.54,33.911
397,5.7,33.98
400,5.68,33.982
500,4.92,34.056
595,4.33,34.13
600,4.31,34.135
700,3.93,34.228
800,3.66,34.312
892,3.5,34.38
900,3.49,34.382
1000,3.34,34.405
1100,3.19,34.428
1190,3.06,34.45
0,15.2,32.94
10,15.08,32.9
20,14.7,32.883
25,14.43,32.88
30,14.06,32.881
50,12.46,32.9
75,11.1,32.88
100,9.66,33.06
125,8.75,33.294
149,8.21,
150,8.19,33.512
198,7.64,33.87
200,7.62,33.877
250,7.09,33.996
298,6.62,34.02
300,6.6,34.022
397,5.73,34.11
400,5.71,34.112
500,4.98,34.169
596,4.45,34.23
600,4.44,
700,4.12,
800,3.89,
894,3.75,34.54
900,3.74,
1000,3.52,
1100,3.3,
1192,3.1,34.54
0,14.83,33.03
7,14.6,32.95
10,14.6,32.933
19,14.58,32.88
20,14.47,32.874
30,13.32,32.835
39,12.14,32.83
50,11.6,32.829
58,11.4,32.84
75,11.02,32.929
78,10.96,32.95
100,10.03,33.14
117,9.3,33.3
125,9.1,33.358
150,8.6,33.517
156,8.52,33.55
200,7.93,33.762
235,7.57,33.87
250,7.4,33.888
300,6.85,33.903
314,6.7,33.91
400,5.77,33.942
474,5.08,33.98
500,4.94,34.009
600,4.52,34.122
700,4.27,34.238
728,4.23,34.27
800,4.03,34.308
900,3.76,34.361
1000,3.49,34.416
1007,3.47,34.42
0,13.81,32.79
8,13.46,32.75
10,13.39,32.745
20,12.92,32.741
21,12.86,32.74
30,11.96,32.772
45,10.43,32.84
50,10.18,32.834
68,9.6,32.79
75,9.39,32.786
93,8.92,32.81
100,8.8,32.876
125,8.41,33.125
141,9.3,33.58
150,8.1,33.391
189,7.78,33.84
200,7.63,33.871
250,7.0,33.884
285,6.6,33.91
300,6.48,33.927
382,5.94,34.02
400,5.83,34.033
500,5.24,34.095
576,4.85,34.13
600,4.74,34.146
700,4.31,34.21
800,3.95,34.271
866,3.74,34.31
900,3.67,34.321
1000,3.47,34.356
1100,3.26,34.391
1200,3.06,34.427
1265,2.93,34.45
0,13.71,32.81
10,13.58,32.81
20,13.58,32.824
24,13.58,32.83
30,13.0,32.812
48,11.02,32.77
50,10.95,32.76
73,10.5,32.74
75,10.42,32.736
97,9.58,32.72
100,9.52,32.741
125,9.14,32.933
146,8.98,
150,8.92,33.16
196,8.18,33.66
200,8.14,33.685
250,7.64,33.929
294,7.27,34.04
300,7.2,34.043
393,6.12,34.02
400,6.06,34.028
500,5.32,34.153
590,4.84,34.29
600,4.79,34.293
700,4.31,34.321
800,3.92,34.352
886,3.64,34.38
900,3.61,
1000,3.41,
1100,3.2,
1200,2.99,
1231,2.93,34.34
0,13.73,32.86
9,13.75,32.84
10,13.75,32.84
20,13.77,32.84
23,13.77,32.84
30,13.2,32.834
45,11.77,32.83
50,11.54,32.828
66,11.04,32.81
75,10.72,32.775
88,10.28,32.75
100,9.93,32.844
125,9.28,33.136
132,9.12,33.24
150,8.68,33.447
176,8.12,33.71
200,7.78,33.836
250,7.26,33.959
264,7.15,33.96
300,6.76,33.979
353,6.22,33.98
400,5.86,34.018
500,5.26,34.117
530,5.12,34.15
600,4.8,34.213
700,4.4,34.292
800,4.08,34.358
804,4.07,34.36
900,3.83,34.388
1000,3.59,34.419
1100,3.34,34.45
0,13.03,32.77
10,13.01,32.77
20,12.94,32.763
25,12.91,32.76
30,12.71,32.827
50,11.68,33.13
75,10.65,33.17
100,9.95,33.17
125,9.08,33.296
150,8.3,33.49
200,7.75,33.89
250,7.16,33.935
300,6.6,33.98
399,5.7,
400,5.69,34.063
500,5.06,34.139
598,4.6,34.2
600,4.59,34.201
700,4.24,34.251
800,3.96,34.295
897,3.74,34.33
900,3.73,34.331
1000,3.51,34.371
1100,3.29,34.411
1196,3.08,34.45
0,13.3,32.77
10,13.23,32.97
20,13.09,32.95
25,13.02,32.94
30,12.52,32.958
50,10.28,33.12
75,9.28,33.31
100,8.64,33.51
125,8.44,33.667
150,8.3,34.11
200,7.22,33.96
250,6.65,34.013
300,6.34,34.02
400,5.79,34.11
500,5.26,34.172
600,4.78,34.22
700,4.38,34.258
800,4.05,34.295
900,3.77,34.33
1000,3.59,34.38
1100,3.42,34.43
1200,3.24,34.48
0,13.56,32.88
10,12.89,32.95
20,12.63,32.985
25,12.53,32.99
30,12.19,32.968
50,10.9,32.92
75,10.99,33.15
100,10.32,33.35
125,9.28,33.525
150,8.32,33.68
200,7.89,33.87
250,7.56,33.983
300,7.2,34.04
400,6.12,34.05
500,5.51,34.153
600,5.12,34.27
700,4.69,34.312
800,4.31,34.339
900,3.99,34.35
1000,3.78,34.383
1100,3.56,34.416
1200,3.35,34.45
0,11.7,33.43
10,10.97,33.45
20,10.72,33.527
25,10.64,33.57
30,10.39,33.598
49,9.4,33.68
50,9.37,33.683
74,8.92,33.75
75,8.9,33.754
99,8.46,33.84
100,8.44,33.843
125,8.09,33.897
148,7.81,33.93
150,7.79,33.932
198,7.25,
200,7.23,33.979
250,6.87,34.009
296,6.55,34.02
300,6.51,34.022
395,5.52,34.07
400,5.49,34.073
500,4.94,34.128
594,4.64,34.18
600,4.62,34.184
700,4.33,34.246
800,4.08,34.307
891,3.89,34.36
900,3.87,34.364
1000,3.67,34.407
1100,3.46,34.451
1189,3.28,34.49
0,9.4,32.5
8,9.52,34.34
10,9.49,32.5
20,9.28,32.5
22,9.22,32.5
30,9.14,32.53
38,9.06,32.56
47,8.01,32.88
50,8.09,33.13
55,8.23,33.51
70,8.11,33.64
75,8.09,33.665
100,8.0,33.764
125,7.91,33.813
138,7.86,33.82
150,7.73,33.849
200,7.15,33.95
219,6.92,33.98
250,6.7,34.002
300,6.4,34.019
307,6.37,34.02
395,5.82,34.07
400,5.79,34.069
482,5.34,34.05
0,8.6,32.57
7,,32.52
10,8.6,32.535
20,8.61,32.5
30,8.54,32.503
40,8.46,32.52
50,8.41,32.544
59,8.34,32.56
75,7.98,33.075
79,7.88,33.22
100,7.41,33.519
118,7.11,33.62
125,7.1,33.672
150,7.05,33.811
158,7.04,33.84
200,6.68,33.963
236,6.34,33.57
250,6.28,34.051
300,6.1,34.075
315,6.06,34.07
400,5.56,34.06
473,5.1,34.04
500,4.97,34.061
600,4.57,34.153
700,4.24,34.269
716,4.2,34.29
800,4.01,34.35
900,3.79,34.422
994,3.58,34.49
0,8.6,32.3
8,,32.56
10,8.73,32.56
20,8.86,32.56
30,8.73,32.54
40,8.59,32.52
50,8.03,33.026
58,7.66,33.46
67,7.7,33.68
74,7.89,33.82
75,7.89,33.82
100,7.8,33.833
115,7.75,33.84
125,7.71,33.854
150,7.62,33.889
200,7.42,33.956
218,7.34,33.98
250,7.21,33.98
300,6.97,33.98
307,6.93,33.98
400,6.14,33.978
494,5.3,34.0
500,5.27,34.004
600,4.75,34.082
700,4.36,34.169
786,4.12,34.25
800,4.09,34.258
900,3.84,34.314
1000,3.59,34.372
1083,3.38,34.42
0,8.9,32.59
9,,32.56
10,8.85,32.617
20,8.81,32.644
22,8.81,32.65
30,8.57,32.624
44,8.03,32.59
50,7.78,32.622
66,7.2,32.72
75,7.01,32.72
88,6.84,32.72
100,6.89,32.837
125,6.99,33.141
132,7.02,33.24
150,7.02,33.452
176,7.02,33.73
200,6.77,33.85
250,6.1,33.923
264,5.88,33.96
300,5.5,33.995
354,5.02,34.02
400,4.73,34.043
500,4.28,34.093
533,4.18,34.11
600,4.03,34.171
700,3.85,34.262
800,3.73,34.351
810,3.72,34.36
900,3.54,34.385
1000,3.34,34.414
1100,3.15,34.444
1200,2.95,34.474
1220,2.91,34.48
0,9.09,32.63
7,,32.66
10,9.11,32.737
15,9.12,32.79
20,9.11,32.785
30,9.07,32.773
32,9.06,32.77
46,9.03,32.66
50,8.9,32.658
72,7.92,32.65
75,7.88,32.678
100,7.55,32.899
125,7.23,33.11
150,6.9,33.308
200,6.25,33.67
212,6.09,33.75
250,5.82,33.849
260,5.76,33.87
300,5.5,33.992
310,5.44,34.02
400,4.91,33.952
467,4.56,33.91
500,4.49,33.938
600,4.26,34.025
700,4.04,34.111
800,3.81,34.199
900,3.59,34.287
1000,3.36,34.376
1060,3.23,34.43
0,9.15,32.68
9,9.34,32.63
10,9.34,32.634
20,9.32,32.669
23,9.31,32.68
30,9.2,32.687
46,8.84,32.7
50,8.72,32.71
70,8.15,32.79
75,8.05,32.825
100,7.66,33.018
113,7.51,33.13
125,7.35,33.205
150,7.03,33.351
200,6.44,33.602
233,8.63,33.95
250,5.92,33.798
300,5.49,33.939
373,4.98,34.04
400,4.82,34.066
466,4.5,34.11
500,4.4,34.148
561,4.25,34.22
600,4.15,34.257
700,3.93,34.341
800,3.73,34.406
845,3.65,34.43
900,3.6,34.441
1000,3.5,34.46
1100,3.41,34.48
1200,3.31,34.499
1300,3.21,34.519
1303,3.21,34.52
0,9.9,32.57
7,9.78,32.59
10,9.78,32.584
17,9.78,32.57
20,9.74,32.534
30,9.57,32.432
34,9.49,32.4
50,9.29,32.556
51,9.27,32.57
68,8.36,32.72
75,8.28,32.884
100,8.0,33.44
125,7.65,33.733
130,7.58,33.77
150,7.4,33.871
182,7.12,33.93
200,6.89,33.948
230,6.5,33.96
250,6.33,33.97
300,5.98,33.998
338,5.8,34.02
400,5.47,34.083
500,4.99,34.189
574,4.69,34.27
600,4.61,34.28
700,4.32,34.318
800,4.02,34.358
900,3.73,34.4
1000,3.43,34.442
1018,3.38,34.45
0,9.4,32.61
7,9.48,32.54
10,9.48,32.516
18,9.49,32.48
20,9.49,32.481
30,9.48,32.503
38,9.48,32.54
50,9.28,32.53
57,9.05,32.5
75,7.8,32.637
76,7.73,32.65
100,7.66,33.162
114,7.62,33.42
125,7.65,33.562
150,7.69,33.788
152,7.69,33.8
200,7.24,33.843
230,6.86,33.87
250,6.69,33.87
300,6.3,33.87
306,6.26,33.87
400,5.63,33.908
460,5.28,33.95
500,5.09,33.992
600,4.67,34.101
700,4.34,34.211
708,4.32,34.22
800,4.09,34.252
900,3.84,34.287
1000,3.59,34.323
1100,3.34,34.36
0,9.4,32.72
9,9.44,32.54
10,9.44,32.542
20,9.42,32.564
23,9.42,32.57
30,9.3,32.566
47,8.73,32.56
50,8.54,32.557
70,7.4,32.66
75,7.41,32.773
94,7.44,33.21
100,7.44,33.316
125,7.45,33.674
142,7.46,33.84
150,7.38,33.882
188,6.94,33.98
200,6.83,34.007
250,6.43,34.087
283,6.19,34.11
300,6.04,34.106
377,5.39,34.07
400,5.27,34.082
500,4.85,34.159
566,4.68,34.23
600,4.57,34.257
700,4.26,34.33
800,3.98,34.391
855,3.84,34.42
900,3.74,34.43
1000,3.52,34.454
1100,3.29,34.478
1150,3.18,34.49
0,10.29,32.7
9,10.06,32.56
10,10.04,32.556
20,9.84,32.526
23,9.79,32.52
30,9.77,32.567
47,9.62,32.7
50,9.49,32.684
71,8.56,32.68
75,8.46,32.775
94,8.15,33.3
100,8.08,33.397
125,7.85,33.684
142,7.74,33.77
150,7.67,33.814
189,7.31,33.95
200,7.22,33.962
250,6.84,33.996
284,6.59,34.0
300,6.45,34.036
378,5.77,34.22
400,5.63,34.216
500,5.09,34.215
566,4.83,34.23
600,4.69,34.254
700,4.33,34.327
800,4.02,34.406
853,3.88,34.45
900,3.78,34.461
1000,3.58,34.484
1100,3.38,34.508
1148,3.28,34.52
0,10.55,32.68
9,10.08,32.56
10,10.05,32.559
20,9.88,32.601
23,9.86,32.63
30,9.81,32.686
47,9.52,34.49
50,9.35,32.859
71,8.26,33.06
75,8.28,33.086
94,8.38,33.22
100,8.37,33.298
125,8.26,33.613
142,8.12,33.82
150,8.06,33.862
188,7.74,33.96
200,7.62,33.979
250,7.14,34.034
282,6.82,34.05
300,6.66,34.066
375,6.05,34.13
400,5.89,34.151
476,5.46,34.22
500,5.31,34.246
559,4.94,34.31
600,4.85,34.323
700,4.65,34.356
800,4.44,34.39
900,4.23,34.424
1000,4.02,34.459
1088,3.84,34.49
0,10.5,32.72
9,10.48,32.72
10,10.48,32.712
20,10.46,32.646
23,10.46,32.63
30,10.31,32.631
46,9.76,32.75
50,9.54,32.819
69,8.61,33.22
75,8.55,33.359
93,8.37,33.69
100,8.31,33.763
125,8.11,33.926
140,7.99,33.95
150,7.88,33.969
186,7.46,34.0
200,7.32,34.017
250,6.87,34.072
280,6.64,34.1
300,6.49,34.111
374,6.0,34.14
400,5.84,34.152
500,5.26,34.2
562,4.94,34.23
600,4.78,34.249
700,4.4,34.296
800,4.08,34.34
850,3.94,34.36
900,3.81,34.375
1000,3.55,34.405
1100,3.29,34.436
1144,3.18,34.45
0,10.78,32.72
10,10.92,32.65
20,10.85,32.643
24,10.82,32.64
30,10.59,32.672
49,9.72,32.84
50,9.69,32.849
74,9.04,33.1
75,9.0,33.116
98,8.11,33.49
100,8.1,33.517
125,7.93,33.772
148,7.77,33.87
150,7.75,33.877
198,7.08,33.95
200,7.05,33.951
250,6.38,33.973
297,5.88,33.98
300,5.86,33.982
396,5.5,34.05
400,5.48,34.053
500,5.05,34.118
595,4.66,34.18
600,4.65,34.183
700,4.36,34.25
800,4.11,34.317
893,3.91,34.38
900,3.89,
1000,3.62,
1100,3.35,
1191,3.11,34.58
0,10.1,32.52
9,10.26,32.52
10,10.25,32.506
20,10.15,32.389
23,10.12,32.36
30,10.05,32.404
48,9.6,32.57
50,9.46,32.554
72,8.04,32.47
75,8.03,32.533
96,7.94,33.03
100,7.89,33.109
125,7.58,33.515
145,7.3,33.73
150,7.25,33.759
193,6.92,33.86
200,6.87,33.86
250,6.49,33.86
291,6.2,33.86
300,6.13,33.875
387,5.54,34.04
400,5.47,34.054
500,5.03,34.132
579,4.76,34.16
600,4.68,34.17
700,4.31,34.216
800,3.97,34.259
873,3.75,34.29
900,3.69,34.304
1000,3.46,34.357
1100,3.24,34.411
1171,3.08,34.45
0,11.6,32.95
10,11.6,32.95
20,11.48,32.944
25,11.38,32.94
30,11.23,32.94
50,10.42,32.94
74,9.27,33.19
75,9.25,33.201
99,8.87,33.44
100,8.86,33.45
125,8.58,33.683
149,8.34,33.86
150,8.33,33.865
198,7.76,34.0
200,7.74,34.002
250,7.28,34.01
298,6.88,34.02
300,6.86,34.021
398,5.94,34.09
400,5.93,34.091
500,5.36,34.118
596,4.97,34.14
600,4.95,34.144
700,4.52,34.23
800,4.13,34.317
895,3.81,34.4
900,3.8,34.401
1000,3.56,34.417
1100,3.32,34.433
1194,3.1,34.45
0,11.58,32.68
8,11.44,32.66
10,11.36,32.646
20,10.87,32.61
21,10.81,32.61
30,10.29,32.747
43,9.61,33.03
50,9.37,33.159
64,9.04,33.37
75,8.9,33.447
85,8.82,33.49
100,8.61,33.57
125,8.27,33.693
150,7.94,33.801
200,7.33,33.974
250,6.78,34.09
300,6.56,34.125
334,6.44,34.13
400,5.94,34.163
500,5.16,34.212
504,5.13,34.0
600,4.77,34.258
700,4.51,34.303
765,4.4,34.33
800,4.3,34.339
900,4.03,34.364
1000,3.76,34.39
1037,3.66,34.4
0,12.48,32.86
10,11.91,32.84
20,11.56,32.833
24,11.41,32.83
30,10.89,32.884
48,9.36,33.13
50,9.33,33.16
73,9.02,33.41
75,9.0,33.436
98,8.73,33.71
100,8.71,33.726
125,8.42,33.885
147,8.16,33.96
150,8.12,33.968
196,7.6,34.05
200,7.57,34.057
250,7.2,34.118
295,6.88,34.14
300,6.82,34.136
393,5.68,34.07
400,5.66,34.079
500,5.41,34.212
590,5.18,34.33
600,5.16,34.333
700,4.92,34.361
800,4.68,34.39
900,4.44,34.42
1000,4.21,34.451
1062,4.06,34.47
0,12.38,32.88
9,12.27,32.88
10,12.25,32.876
20,12.01,32.844
22,11.95,32.84
30,11.67,32.898
44,11.09,33.04
50,10.79,33.065
67,10.04,33.17
75,9.89,33.294
87,9.76,33.49
100,9.55,33.614
125,9.14,33.776
131,9.04,33.8
150,8.73,33.909
174,8.36,34.02
200,8.01,34.07
250,7.42,34.1
260,7.32,34.11
300,6.94,34.169
347,6.56,34.23
400,6.22,34.21
500,5.71,34.203
520,5.63,34.2
600,5.46,34.226
700,5.26,34.26
800,5.05,34.294
900,4.84,34.329
988,4.66,34.36
0,12.18,32.79
8,12.35,32.83
10,12.35,32.832
20,12.35,32.839
21,12.35,32.84
30,11.53,32.84
42,10.24,32.84
50,9.83,32.846
63,9.42,32.88
75,9.1,32.974
84,8.89,33.06
100,8.44,33.238
125,7.82,33.499
127,7.78,
150,7.51,33.737
170,7.35,33.91
200,6.99,33.998
250,6.43,34.032
255,6.38,34.04
300,6.06,34.093
340,5.82,34.13
400,5.38,34.156
500,4.7,34.179
510,4.64,34.18
600,4.54,34.205
700,4.43,34.233
800,4.32,34.261
900,4.21,34.289
1000,4.1,34.318
1044,4.05,34.33
0,12.29,32.9
10,11.74,32.74
20,11.09,32.67
24,10.86,32.66
30,10.73,32.65
48,10.53,32.7
50,10.48,32.717
71,9.7,32.95
75,9.4,32.996
95,7.97,33.24
100,7.96,33.327
125,7.93,33.652
142,7.9,33.77
150,7.84,33.805
189,7.44,33.87
200,7.31,33.868
250,6.68,33.846
284,6.24,33.82
300,6.03,33.839
378,5.16,33.96
400,5.11,33.987
500,4.91,34.062
570,4.76,34.07
600,4.67,34.091
700,4.37,34.164
800,4.05,34.241
861,3.85,34.29
900,3.75,34.32
1000,3.48,34.396
1100,3.22,34.474
1159,3.06,34.52
0,12.23,32.7
9,11.56,32.75
10,11.51,32.753
20,11.15,32.77
22,11.11,32.77
30,10.98,32.767
45,10.7,32.75
50,10.48,32.75
68,9.63,32.75
75,9.4,32.718
90,9.0,32.68
100,8.76,32.794
125,8.29,33.156
136,8.13,33.35
150,8.0,33.467
182,7.77,33.66
200,7.6,33.776
250,7.08,34.016
274,6.82,34.09
300,6.53,34.055
365,5.86,33.98
400,5.62,33.989
500,5.09,34.067
548,4.91,34.13
600,4.68,34.187
700,4.28,34.288
800,3.94,34.38
823,3.87,34.4
900,3.71,34.407
1000,3.49,34.417
1100,3.28,34.427
1200,3.07,34.439
1212,3.04,34.44
0,12.39,32.77
8,12.57,32.75
10,12.54,32.754
20,12.39,32.828
21,12.38,32.84
30,12.04,32.844
42,11.41,32.83
50,10.85,32.855
64,9.94,32.88
75,9.56,32.793
85,9.34,32.74
100,9.23,32.767
125,9.06,32.815
138,8.97,32.84
150,8.62,33.094
171,7.96,33.57
200,7.5,33.66
250,7.05,33.879
256,7.02,33.91
300,6.57,33.962
343,6.16,33.98
400,5.68,34.027
500,5.06,34.117
514,4.99,34.13
600,4.78,34.22
672,4.68,34.29
700,4.6,34.299
800,4.3,34.331
900,4.0,34.365
1000,3.71,34.4
1100,3.41,34.436
1137,3.3,34.45
0,12.47,32.86
8,12.65,32.84
10,12.65,32.836
20,12.66,32.812
21,12.66,32.81
30,12.53,32.853
42,12.25,32.94
50,12.01,32.989
62,11.66,33.05
75,11.41,33.074
83,11.27,33.08
100,10.88,33.095
120,10.27,33.15
125,10.04,33.19
150,8.93,33.417
157,8.62,33.49
200,7.84,33.766
233,7.6,33.89
250,7.38,33.919
300,6.79,33.941
312,6.65,33.95
400,5.77,33.975
476,5.16,34.0
500,5.03,34.029
600,4.58,34.153
700,4.28,34.284
742,4.19,34.34
800,4.04,34.36
900,3.77,34.395
1000,3.51,34.432
1100,3.25,34.469
1155,3.1,34.49
0,13.24,33.01
8,13.4,33.03
10,13.39,33.03
20,13.37,33.03
30,13.23,33.016
40,12.95,33.01
50,12.37,33.04
60,11.83,33.08
75,11.76,33.119
80,11.74,33.12
100,11.08,33.18
125,10.13,33.278
150,9.03,33.408
152,8.94,33.42
200,7.98,33.708
228,7.62,33.84
250,7.33,33.822
300,6.75,33.801
309,6.66,33.8
400,5.9,33.9
475,5.36,34.05
500,5.15,34.108
562,4.65,34.25
600,4.57,34.257
700,4.37,34.276
800,4.17,34.296
900,3.97,34.316
1000,3.77,34.337
1015,3.74,34.34
0,12.9,32.97
9,13.07,33.03
10,13.05,33.025
20,12.75,32.952
23,12.62,32.92
30,12.46,32.91
48,12.04,32.94
50,11.96,32.945
72,11.1,32.99
75,11.06,32.985
96,10.88,32.97
100,10.77,32.994
125,9.99,33.189
145,9.23,33.4
150,9.07,33.441
194,7.81,33.75
200,7.71,33.775
250,7.08,33.922
292,6.78,33.96
300,6.68,33.967
389,5.63,34.02
400,5.51,34.032
485,4.64,34.13
500,4.61,34.149
600,4.38,34.252
700,4.15,34.318
800,3.92,34.345
878,3.74,34.34
900,3.69,34.35
1000,3.47,34.393
1100,3.25,34.438
1171,3.09,34.47
0,11.98,32.92
10,12.18,32.88
20,11.95,32.905
24,11.81,32.92
30,11.67,32.912
48,11.25,32.88
50,11.21,32.884
71,10.7,32.93
75,10.58,32.926
96,9.9,32.92
100,9.76,32.94
125,8.93,33.111
143,8.41,33.28
150,8.28,33.34
191,7.72,33.66
200,7.63,33.705
250,7.2,33.881
286,6.92,33.93
300,6.76,33.939
382,5.8,33.95
400,5.63,33.957
500,4.84,34.014
575,4.42,34.07
600,4.32,34.097
700,4.0,34.2
800,3.77,34.298
866,3.68,34.36
900,3.61,34.371
1000,3.39,34.405
1100,3.17,34.439
1161,3.04,34.46
0,11.87,32.83
10,11.87,32.81
20,11.33,32.795
25,11.01,32.79
30,10.91,32.781
49,10.6,32.76
50,10.55,32.761
73,9.37,32.81
75,9.33,32.812
98,8.99,32.83
100,8.94,32.828
125,8.31,32.85
148,7.77,32.94
150,7.75,32.963
196,7.44,33.53
200,7.41,33.56
250,7.03,33.828
295,6.62,33.91
300,6.55,33.916
393,5.34,33.96
400,5.29,33.966
500,4.69,34.053
590,4.43,34.14
600,4.4,34.15
700,4.08,34.251
800,3.82,34.345
886,3.64,34.42
900,3.61,34.428
1000,3.41,34.481
1100,3.2,34.536
1181,3.04,34.58
0,12.8,32.88
8,12.78,32.77
10,12.71,32.79
20,12.26,32.933
22,12.16,32.97
30,11.97,32.905
44,11.71,32.81
50,11.56,32.826
65,11.12,32.88
75,10.73,32.84
86,10.28,32.81
100,9.73,32.938
125,8.86,33.3
150,8.2,33.64
161,7.96,33.77
200,7.39,33.95
223,7.1,33.95
250,6.59,33.899
275,6.15,33.84
300,6.09,33.877
391,5.87,34.04
400,5.81,34.046
500,5.14,34.103
594,4.46,34.14
600,4.44,34.147
700,4.16,34.265
800,3.88,34.384
830,3.8,34.42
0,11.62,32.74
9,11.32,32.68
10,11.25,32.682
20,10.56,32.723
24,10.29,32.75
30,10.24,32.745
48,10.1,32.73
50,10.02,32.73
73,8.91,32.73
75,8.83,32.729
96,8.08,32.74
100,7.97,32.749
125,7.48,32.864
145,7.3,33.02
150,7.31,33.085
194,7.44,33.66
200,7.38,33.698
250,6.76,33.905
291,6.09,33.93
300,6.0,33.942
388,5.27,34.02
400,5.21,34.029
500,4.81,34.094
582,4.62,34.14
600,4.56,34.154
700,4.22,34.231
800,3.91,34.306
874,3.69,34.36
900,3.63,34.371
1000,3.4,34.415
1100,3.17,34.459
1168,3.02,34.49
0,11.6,32.74
10,10.24,32.68
20,9.79,32.656
25,9.72,32.65
30,9.57,32.652
49,8.95,32.68
50,8.9,32.681
74,7.74,32.72
75,7.73,32.724
99,7.52,32.84
100,7.51,32.855
125,7.35,33.252
148,7.19,33.64
150,7.17,33.657
198,6.66,33.9
200,6.64,33.904
250,6.13,33.931
298,5.68,33.96
300,5.66,33.961
398,4.99,33.99
400,4.98,33.991
500,4.65,34.058
598,4.46,34.14
600,4.45,34.142
700,4.18,34.242
